skill,count_in_high_paying,pct_of_high_paying_jobs,count_in_all_jobs,pct_of_all_jobs,premium_ratio
scala,51,0.1141756962478732,54,0.047001888779604664,2.4291725122633157
business analysis,48,0.10745947882152772,76,0.06615080643055471,1.624462113464013
mysql,47,0.10522073967941256,64,0.05570594225730924,1.8888602439106295
jenkins,47,0.10522073967941256,54,0.047001888779604664,2.2386491779681537
postgresql,46,0.10298200053729739,52,0.045261078084063745,2.2752882807172234
terraform,45,0.10074326139518222,49,0.04264986204075238,2.362100522128794
gcp,42,0.09402704396883675,51,0.04439067273629329,2.11817118716386
deep learning,42,0.09402704396883675,57,0.049613104822916025,1.8952057990413487
vue,35,0.07835586997403063,59,0.051353915518456944,1.5258012788892212
autocad,34,0.07611713083191546,1420,1.2359755938340484,0.061584655240478424
content marketing,33,0.0738783916898003,132,0.11489350590570029,0.6430162532461717
data analysis,33,0.0738783916898003,89,0.07746607595157065,0.9536870272864569
kotlin,33,0.0738783916898003,41,0.03568661925858872,2.070198668987675
docker,33,0.0738783916898003,33,0.02872337647642507,2.572065012984687
html,30,0.06716217426345482,73,0.06353959038724334,1.0570130190348028
jira,28,0.0626846959792245,84,0.07311404921271837,0.857355004328229
css,27,0.060445956837109335,50,0.04352026738852283,1.388915107011731
rust,21,0.047013521984418376,25,0.021760133694261417,2.160534610907137
django,20,0.04477478284230321,28,0.024371349737572788,1.837189294989062
matlab,16,0.03581982627384257,40,0.03481621391081827,1.028826005193875
rest api,14,0.03134234798961225,18,0.015667296259868218,2.0004950100992014
mongodb,11,0.024626130563266766,29,0.025241755085343244,0.9756108669941915
